k,frame,t,cx,cy,vx,vy,speed_px_s,speed_bl_per_s,psi_vel_deg,axis_deg,psi_body_deg,beta_deg
44,138,2.6000,374.0004,695.6886,450.6473,-147.4477,474.1559,2.8393,341.8824,115.2688,295.2688,-46.6136
45,141,2.6591,401.4043,683.3100,451.6060,-251.5880,516.9570,3.0956,330.8780,121.9639,301.9639,-28.9141
46,143,2.7182,427.3720,665.9555,417.6379,-278.9718,502.2417,3.0074,326.2581,108.5819,288.5819,-37.6762
47,145,2.7773,450.7616,650.3406,360.6059,-243.6959,435.2290,2.6062,325.9493,103.1481,283.1481,-42.8013
48,148,2.8364,469.9890,637.1551,310.1483,-202.9598,370.6544,2.2195,326.7994,95.8773,275.8773,-50.9222
49,150,2.8955,487.4154,626.3544,276.2517,-197.8586,339.7985,2.0347,324.3888,86.0883,266.0883,-58.3005
50,152,2.9545,502.6370,613.7718,238.6719,-236.2235,335.8062,2.0108,315.2954,82.5874,262.5874,-52.7080
51,155,3.0136,515.6221,598.4371,194.8727,-285.4757,345.6469,2.0697,304.3184,77.1981,257.1981,-47.1203
52,157,3.0727,525.6674,580.0337,152.5424,-336.2797,369.2603,2.2111,294.3999,73.1738,253.1738,-41.2261
53,160,3.1318,533.6499,558.6950,110.8114,-375.3115,391.3283,2.3433,286.4493,71.6574,251.6574,-34.7919
54,163,3.1909,538.7633,535.6787,66.9587,-397.1390,402.7442,2.4116,279.5702,66.8875,246.8875,-32.6828
55,165,3.2500,541.5632,511.7604,34.7683,-387.0677,388.6261,2.3271,275.1328,62.7043,242.7043,-32.4285
56,168,3.3091,542.8722,489.9344,8.0092,-358.4226,358.5120,2.1468,271.2801,58.2040,238.2040,-33.0761
57,169,3.3682,542.5097,469.4013,-12.1136,-338.4279,338.6446,2.0278,267.9500,51.7996,231.7996,-36.1504
58,172,3.4273,541.4406,449.9384,-20.5139,-320.4680,321.1239,1.9229,266.3374,48.4158,228.4158,-37.9216
59,175,3.4864,540.0853,431.5278,-23.1519,-305.5478,306.4237,1.8349,265.6669,50.8490,230.8490,-34.8179
60,177,3.5455,538.7045,413.8282,-30.3534,-302.1291,303.6499,1.8183,264.2630,44.2111,224.2111,-40.0519
61,179,3.6045,536.4981,395.8217,-44.2743,-284.3668,287.7928,1.7233,261.1504,42.9626,222.9626,-38.1879
62,182,3.6636,533.4721,380.2212,-66.7971,-257.8167,266.3293,1.5948,255.4748,36.2804,216.2804,-39.1943
63,184,3.7227,528.6039,365.3524,-94.6882,-237.6446,255.8140,1.5318,248.2755,32.9710,212.9710,-35.3045
64,186,3.7818,522.2817,352.1359,-113.9595,-211.9879,240.6775,1.4412,241.7386,32.9156,212.9156,-28.8230
65,189,3.8409,515.1360,340.2993,-117.1841,-194.6285,227.1836,1.3604,238.9482,26.1768,206.1768,-32.7714
66,191,3.9000,508.4326,329.1343,-122.7304,-188.6666,225.0730,1.3477,236.9554,23.9726,203.9726,-32.9828
67,193,3.9591,500.6315,318.0023,-141.9381,-185.1014,233.2573,1.3968,232.5186,18.0402,198.0402,-34.4784
68,196,4.0182,491.6581,307.2587,-166.7667,-180.5423,245.7777,1.4717,227.2714,6.3351,186.3351,-40.9362
69,199,4.0773,480.9227,296.6655,-196.6150,-171.0447,260.6027,1.5605,221.0216,1.7469,181.7469,-39.2747
70,201,4.1364,468.4218,287.0443,-218.1507,-153.2414,266.5946,1.5964,215.0864,175.4201,175.4201,-39.6663
71,203,4.1955,455.1412,278.5552,-214.6815,-132.8131,252.4430,1.5116,211.7431,170.9383,170.9383,-40.8048
72,206,4.2545,443.0503,271.3483,-218.5021,-116.8851,247.8010,1.4838,208.1440,165.5394,165.5394,-42.6046
73,208,4.3136,429.3182,264.7415,-205.4842,-96.0841,226.8390,1.3583,205.0607,161.7297,161.7297,-43.3310
74,210,4.3727,418.7658,259.9929,-166.3782,-68.1678,179.8014,1.0767,202.2797,157.5450,157.5450,-44.7347
75,213,4.4318,409.6554,256.6853,-141.9765,-43.7805,148.5734,0.8897,197.1379,154.6248,154.6248,-42.5131
76,222,4.4909,401.9868,254.8188,-129.7757,-31.5869,133.5645,0.7998,193.6796,154.5578,154.5578,-39.1218
